C1	12.10	20.50	90.00	0.1uF	0603
C2	13.50	25.50	0.00	0.1uF	0603
C21	33.10	20.50	90.00	0.1uF	0603
C22	34.50	25.50	0.00	0.1uF	0603
C23	39.40	13.20	90.00	0.22uF	0603
C26	35.50	16.85	0.00	7 pF	0402
C27	35.50	21.75	0.00	7 pF	0402
C3	18.40	13.20	90.00	0.22uF	0603
C41	54.10	20.50	90.00	0.1uF	0603
C42	55.50	25.50	0.00	0.1uF	0603
C43	60.40	13.20	90.00	0.22uF	0603
C46	56.50	16.85	0.00	7 pF	0402
C47	56.50	21.75	0.00	7 pF	0402
C6	14.50	16.85	0.00	7 pF	0402
C61	75.10	20.50	90.00	0.1uF	0603
C62	76.50	25.50	0.00	0.1uF	0603
C63	81.40	13.20	90.00	0.22uF	0603
C66	77.50	16.85	0.00	7 pF	0402
C67	77.50	21.75	0.00	7 pF	0402
C7	14.50	21.75	0.00	7 pF	0402
R1	15.30	14.40	180.00	30	0402
R2	8.30	24.00	90.00	4.7k	0603
R3	6.10	23.90	90.00	4.7k	0603
R30	36.30	14.40	180.00	30	0402
R31	29.30	24.00	90.00	4.7k	0603
R32	27.10	23.90	90.00	4.7k	0603
R33	33.50	23.30	270.00	10k	0402
R4	12.50	23.30	270.00	10k	0402
R54	57.30	14.40	180.00	30	0402
R55	50.30	24.00	90.00	4.7k	0603
R56	48.10	23.90	90.00	4.7k	0603
R57	54.50	23.30	270.00	10k	0402
R78	78.30	14.40	180.00	30	0402
R79	71.30	24.00	90.00	4.7k	0603
R80	69.10	23.90	90.00	4.7k	0603
R81	75.50	23.30	270.00	10k	0402
U$1	14.50	19.30	90.00	32.768KHz	FC-135
U$12	35.50	19.30	90.00	32.768KHz	FC-135
U$14	38.58	19.25	90.00	BUTTON	BUTTON
U$22	56.50	19.30	90.00	32.768KHz	FC-135
U$24	59.58	19.25	90.00	BUTTON	BUTTON
U$32	77.50	19.30	90.00	32.768KHz	FC-135
U$34	80.58	19.25	90.00	BUTTON	BUTTON
U$4	17.57	19.25	90.00	BUTTON	BUTTON
